Station_ID,Station_Name,Available_Lines,Borough,Physical_Line
L06,1 Av,L,M,Canarsie
119,103 St,1,M,Broadway - 7Av
A18,103 St,B C,M,8th Av - Fulton St
624,103 St,6,M,Lexington Av
706,103 St-Corona Plaza,7,Q,Flushing
A63,104 St,A,Q,Liberty Av
J14,104 St,J Z,Q,Jamaica
623,110 St,6,M,Lexington Av
227,110 St-Malcolm X Plaza,2 3,M,Lenox - White Plains Rd
A64,111 St,A,Q,Liberty Av
J13,111 St,J,Q,Jamaica
705,111 St,7,Q,Flushing
622,116 St,6,M,Lexington Av
226,116 St,2 3,M,Lenox - White Plains Rd
A16,116 St,B C,M,8th Av - Fulton St
117,116 St-Columbia University,1,M,Broadway - 7Av
J12,121 St,J Z,Q,Jamaica
225,125 St,2 3,M,Lenox - White Plains Rd
116,125 St,1,M,Broadway - 7Av
A15,125 St,A C B D,M,8th Av - Fulton St
621,125 St,4 5 6,M,Lexington Av
A14,135 St,B C,M,8th Av - Fulton St
224,135 St,2 3,M,Lenox - White Plains Rd
115,137 St-City College,1,M,Broadway - 7Av
416,138 St-Grand Concourse,4 5,Bx,Jerome Av
A31,14 St,A C E,M,8th Av - Fulton St
D19,14 St,F M,M,6th Av - Culver
132,14 St,1 2 3,M,Broadway - 7Av
R20,14 St-Union Sq,N Q R W,M,Broadway - Brighton
L03,14 St-Union Sq,L,M,Canarsie
635,14 St-Union Sq,4 5 6,M,Lexington Av
A12,145 St,A C,M,8th Av - Fulton St
114,145 St,1,M,Broadway - 7Av
D13,145 St,B D,M,Concourse
302,145 St,3,M,Lenox - White Plains Rd
222,149 St-Grand Concourse,2 5,Bx,Lenox - White Plains Rd
415,149 St-Grand Concourse,4,Bx,Jerome Av
F25,15 St-Prospect Park,F G,Bk,6th Av - Culver
D12,155 St,B D,M,Concourse
A11,155 St,C,M,8th Av - Fulton St
113,157 St,1,M,Broadway - 7Av
414,161 St-Yankee Stadium,4,Bx,Jerome Av
D11,161 St-Yankee Stadium,B D,Bx,Concourse
A10,163 St-Amsterdam Av,C,M,8th Av - Fulton St
413,167 St,4,Bx,Jerome Av
D10,167 St,B D,Bx,Concourse
A09,168 St,A C,M,8th Av - Fulton St
112,168 St-Washington Hts,1,M,Broadway - 7Av
F02,169 St,F,Q,Queens Blvd
412,170 St,4,Bx,Jerome Av
D09,170 St,B D,Bx,Concourse
215,174 St,2 5,Bx,Lenox - White Plains Rd
D08,174-175 Sts,B D,Bx,Concourse
A07,175 St,A,M,8th Av - Fulton St
410,176 St,4,Bx,Jerome Av
F30,18 Av,F,Bk,6th Av - Culver
B19,18 Av,D,Bk,West End
N05,18 Av,N,Bk,Sea Beach
131,18 St,1,M,Broadway - 7Av
111,181 St,1,M,Broadway - 7Av
A06,181 St,A,M,8th Av - Fulton St
D06,182-183 Sts,B D,Bx,Concourse
408,183 St,4,Bx,Jerome Av
A05,190 St,A,M,8th Av - Fulton St
110,191 St,1,M,Broadway - 7Av
F14,2 Av,F,M,6th Av - Culver
N06,20 Av,N,Bk,Sea Beach
B20,20 Av,D,Bk,West End
108,207 St,1,M,Broadway - 7Av
G24,21 St,G,Q,Crosstown
B04,21 St-Queensbridge,M,Q,63rd St
107,215 St,1,M,Broadway - 7Av
207,219 St,2 5,Bx,Lenox - White Plains Rd
206,225 St,2 5,Bx,Lenox - White Plains Rd
